iteration,valid_logloss
1,0.6047740925642163
2,0.5808326949078156
3,0.558649341661564
4,0.5386300159420248
5,0.5215832583459443
6,0.5064366450836959
7,0.4942803019533148
8,0.48218952591068454
9,0.47082124070207815
10,0.45945037281876866
11,0.4500674885121149
12,0.4405706760635669
13,0.4315393520534977
14,0.4245825981223545
15,0.4170067475542056
16,0.40974474919984816
17,0.4042168971280561
18,0.3977109106153396
19,0.3919091545293386
20,0.3866008148299477
21,0.3828249601749968
22,0.3784391243173266
23,0.37452613151148784
24,0.3707669510697532
25,0.3667501466128317
26,0.36501036207713733
27,0.36151690407932396
28,0.35889735587592825
29,0.35760313641281677
30,0.3563170174072195
31,0.3538771982421426
32,0.35159350913256116
33,0.3489166965659448
34,0.34709835004441275
35,0.3453280910411351
36,0.34337030554237674
37,0.3411963753430924
38,0.33966679699609703
39,0.33826469773032514
40,0.33645721844093496
41,0.3347250199193721
42,0.33293032642054593
43,0.33151405189450794
44,0.3302637701327976
45,0.3301202088090706
46,0.3288654970533737
47,0.32810727390867045
48,0.3271013754175078
49,0.3257869311217098
50,0.3259637104882786
51,0.32510840577836625
52,0.3249884089177713
53,0.32436766585706367
54,0.32378834813137836
55,0.32318273203932174
56,0.3227471249900621
57,0.3220745918298822
58,0.32162652110098805
59,0.32128827428101875
60,0.3207630865270312
61,0.3209964874708216
62,0.3206210797614189
63,0.32008526923045044
64,0.31964242202438264
65,0.3194196623199635
66,0.319044900457053
67,0.31868158016365145
68,0.31852328573193156
69,0.31797713513377474
70,0.3176642681214608
71,0.31715370857158465
72,0.31687923177608596
73,0.3164792523915453
74,0.31618245686166885
75,0.3161175043562257
76,0.3159472300323052
77,0.3155761953825186
78,0.3152499515399168
79,0.31538369263047905
80,0.31478672295306626
81,0.31459465340942816
82,0.3144968239443451
83,0.31405775818443843
84,0.3139487012735809
85,0.31395815240601127
86,0.3141641631224483
87,0.31371133975881155
88,0.31421645285120525
89,0.31435194174859515
90,0.31424251024232297
91,0.31415209902559016
92,0.31392306644453793
93,0.31411277561948625
94,0.314219276044576
95,0.3141003887101822
96,0.3139103105352216
97,0.31383020428099473
98,0.3138819967750688
99,0.31509677154405646
100,0.3151107563776732
101,0.31511680037017487
102,0.31512120720953685
103,0.3152445779459681
104,0.3150591604574472
105,0.3151396337089706
106,0.3150029387775872
107,0.3149825836423397
108,0.31594168839938197
109,0.3160850779049676
110,0.3161703124676896
111,0.31616327212386275
112,0.3160777546007858
113,0.3160792708547669
114,0.3158754432986998
115,0.316743241032638
116,0.3168901156780516
117,0.31667108702022817
118,0.31681949387207997
119,0.3168674018284783
120,0.31698906891987877
121,0.3167777930209278
122,0.3168397727012709
123,0.31698627103741706
124,0.3170389934142885
125,0.3171297671958591
126,0.3171737055672008
127,0.31703148827400485
128,0.3168502935100676
129,0.31682088619273885
130,0.31700477881393146
131,0.31699212229190193
132,0.3168322212360236
133,0.3168416282138449
134,0.31694784888415445
135,0.31697990912719176
136,0.3170202466375361
137,0.3169622133129689
138,0.31713743687584756
139,0.3170171786717071
140,0.3171522650370985
141,0.31725553308573823
142,0.3174727970627016
143,0.31767335201367136
144,0.31777131101249184
145,0.3177961918590164
146,0.3177878278680358
147,0.3177372845800745
148,0.31781530857264645
149,0.3178907663836555
150,0.3177855961772462
151,0.31779127622708275
152,0.3180140749971175
153,0.3179181157663302
154,0.3180075699626747
155,0.3179142770281238
156,0.3180978353298234
157,0.3181524375726511
158,0.3181839696119414
159,0.31827631476205553
160,0.3183142531117769
161,0.3182930458108863
162,0.3183193156996712
163,0.31832237483128595
164,0.31831179475844695
165,0.3183274201471146
166,0.3182982542478663
167,0.31848604856545043
168,0.3185088541186503
169,0.31870051714170144
170,0.31878968476929664
171,0.3187942618602877
172,0.3188185568189609
173,0.3189084066263848
174,0.3187473382172287
175,0.31884473743921304
176,0.3188695012474501
177,0.3188159052120523
178,0.3188005682549718
179,0.31870433835802214
180,0.3188250324705718
181,0.3189246292783366
182,0.318889360799548
183,0.3188104168169913
184,0.31883570834077185
185,0.3188529166553509
186,0.3188163430418523
187,0.31888267046380686
188,0.3193753671112978
189,0.3193806736191009
190,0.31955505579189797
191,0.31967019751474324
192,0.3197118683651046
193,0.3196937587973576
194,0.31969809671154936
195,0.31963676859523305
196,0.3197052122214243
197,0.31975096592613517
198,0.3199962873439113
199,0.3199651863077575
200,0.31989750128129907
201,0.3200760172897157
202,0.3200447814146857
203,0.32002793842807054
204,0.3200729741511816
205,0.3199860506101794
206,0.3198971660248421
207,0.32008532092724734
