fold,f1_macro,f1_weighted,balanced_accuracy,mcc,brier,thr_f1,roc_auc,pr_auc
1,0.8581639255123297,0.8782687648767183,0.8395295137356545,0.7281978920146936,0.10851337313259289,0.7155441416496797,0.9209146367488755,0.8954678247942096
2,0.8603581524977912,0.8695516982715756,0.8685119391887686,0.7233386118306687,0.0922632813607313,0.3544400979027063,0.9405063238440572,0.9143187886511959
3,0.8814493588869723,0.8971041757172371,0.8751259827592921,0.7639041263017489,0.075445185848618,0.5065186551903179,0.9495263296679143,0.9261001433210937
4,0.8655723816754061,0.8835488172645631,0.8532183449317884,0.735768296889653,0.08898108383082215,0.6340166233041175,0.9349466054919058,0.9116950808628765
5,0.8696459022166207,0.8864035546200304,0.8630692390756179,0.7404803977196077,0.08649378083499833,0.5492757136948739,0.9294181683052805,0.9103016046090983
